epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1359.25,2.82402,2.37095,2.75812,0.55342,0.46423,0.49221,0.21817,1.94585,2.10601,2.32497,0.07001,0.00333222,0.00333222
2,2698.27,1.85774,1.40703,1.87957,0.76744,0.60805,0.71077,0.35608,1.79494,1.77276,2.12629,0.039944,0.00659957,0.00659957
3,4050.86,1.73119,1.25736,1.76015,0.85643,0.73151,0.83466,0.48368,1.53346,1.25167,1.9132,0.009812,0.00980091,0.00980091
4,5342.44,1.66719,1.12597,1.7024,0.82692,0.69003,0.79288,0.45152,1.58321,1.34647,1.90615,0.009703,0.009703,0.009703
5,6623.68,1.60303,1.016,1.65098,0.86579,0.732,0.83953,0.49203,1.52934,1.10551,1.87544,0.009604,0.009604,0.009604
6,7906.1,1.56192,0.94523,1.62059,0.88936,0.77073,0.87737,0.5231,1.50338,1.00576,1.84546,0.009505,0.009505,0.009505
7,9189.5,1.53706,0.90619,1.60563,0.90359,0.82366,0.91378,0.56489,1.40198,0.89171,1.76752,0.009406,0.009406,0.009406
8,10473.9,1.51162,0.86194,1.58163,0.90781,0.82643,0.91382,0.56619,1.40936,0.8677,1.77342,0.009307,0.009307,0.009307
9,11760.3,1.49412,0.83677,1.57538,0.9171,0.82787,0.91528,0.56432,1.41675,0.84779,1.76489,0.009208,0.009208,0.009208
10,13049.6,1.47356,0.81023,1.55676,0.91908,0.83968,0.92193,0.58543,1.353,0.83868,1.7361,0.009109,0.009109,0.009109
11,14333.4,1.46618,0.79922,1.55448,0.91579,0.83965,0.92087,0.56547,1.40408,0.81678,1.75151,0.00901,0.00901,0.00901
12,15608.9,1.45174,0.78015,1.54248,0.92784,0.83992,0.92254,0.57193,1.39053,0.80517,1.75015,0.008911,0.008911,0.008911
13,16882.5,1.43994,0.76773,1.52747,0.929,0.83054,0.92163,0.5836,1.34364,0.80408,1.7138,0.008812,0.008812,0.008812
14,18161.7,1.42485,0.75183,1.52248,0.93465,0.84209,0.92497,0.59164,1.33554,0.79301,1.6998,0.008713,0.008713,0.008713
15,19438.4,1.42307,0.73873,1.51942,0.92967,0.85983,0.93467,0.58619,1.35532,0.74556,1.7226,0.008614,0.008614,0.008614
16,20716.3,1.41096,0.72969,1.50972,0.92631,0.86076,0.93568,0.59955,1.31617,0.73724,1.69525,0.008515,0.008515,0.008515
17,22002,1.40645,0.72027,1.50293,0.92943,0.86377,0.93471,0.60141,1.3059,0.73177,1.6894,0.008416,0.008416,0.008416
18,23290.5,1.39452,0.71431,1.4968,0.94388,0.87533,0.94331,0.59643,1.33698,0.71665,1.70294,0.008317,0.008317,0.008317
19,24636.7,1.38993,0.70399,1.49777,0.94214,0.87483,0.94365,0.60581,1.29157,0.70036,1.67091,0.008218,0.008218,0.008218
20,25947.5,1.38681,0.70009,1.49149,0.92915,0.86473,0.93792,0.6065,1.30469,0.71589,1.67466,0.008119,0.008119,0.008119
21,27276,1.37444,0.69042,1.48805,0.93259,0.85656,0.93796,0.59192,1.34846,0.70663,1.71484,0.00802,0.00802,0.00802
22,28585.2,1.37122,0.68875,1.47914,0.94031,0.87475,0.94466,0.60856,1.29845,0.67622,1.67143,0.007921,0.007921,0.007921
23,29884.8,1.37005,0.68006,1.48296,0.94402,0.87756,0.94626,0.61032,1.29557,0.67474,1.6669,0.007822,0.007822,0.007822
24,31177.5,1.35419,0.67152,1.46834,0.94905,0.87949,0.94511,0.61009,1.30278,0.65423,1.66978,0.007723,0.007723,0.007723
25,32460.6,1.3556,0.66926,1.47012,0.94903,0.87738,0.95082,0.62392,1.26252,0.64897,1.64162,0.007624,0.007624,0.007624
26,33742.7,1.34895,0.66385,1.46197,0.94749,0.87244,0.94668,0.61805,1.2844,0.66747,1.66444,0.007525,0.007525,0.007525
27,35018.3,1.34722,0.66069,1.46193,0.94091,0.87617,0.9454,0.61995,1.26596,0.65902,1.64666,0.007426,0.007426,0.007426
28,36296,1.34549,0.66047,1.46406,0.94438,0.87894,0.94821,0.61253,1.29363,0.65389,1.66395,0.007327,0.007327,0.007327
29,37571.7,1.33858,0.65398,1.46215,0.94805,0.87056,0.94698,0.61823,1.2857,0.65216,1.65977,0.007228,0.007228,0.007228
30,38848.1,1.33372,0.64583,1.45524,0.94812,0.88569,0.95238,0.62525,1.26037,0.62911,1.63618,0.007129,0.007129,0.007129
31,40124.3,1.33201,0.64255,1.45339,0.95132,0.89212,0.95676,0.62482,1.26588,0.61306,1.64325,0.00703,0.00703,0.00703
32,41400.7,1.32422,0.63877,1.44238,0.94458,0.87658,0.94828,0.62456,1.25851,0.64139,1.63916,0.006931,0.006931,0.006931
33,42676.8,1.32157,0.63487,1.44003,0.95151,0.87894,0.95278,0.62521,1.25562,0.62083,1.63419,0.006832,0.006832,0.006832
34,43952.9,1.32123,0.6328,1.44639,0.95436,0.88159,0.95119,0.61748,1.27516,0.63018,1.64802,0.006733,0.006733,0.006733
35,45230.4,1.31995,0.62794,1.44191,0.95435,0.87907,0.95053,0.61531,1.28238,0.62738,1.65791,0.006634,0.006634,0.006634
