epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,14140,1.2963,0.61476,1.42706,0.95755,0.89382,0.95838,0.63421,1.22905,0.59559,1.60884,0.005842,0.005842,0.005842
44,15419.2,1.28987,0.60655,1.42123,0.96238,0.89292,0.96062,0.63654,1.22899,0.59268,1.61185,0.005743,0.005743,0.005743
45,16698.1,1.29275,0.60679,1.41522,0.95979,0.89521,0.9604,0.63243,1.24189,0.59407,1.62263,0.005644,0.005644,0.005644
46,17978.3,1.28138,0.60191,1.41488,0.96194,0.89725,0.96027,0.63308,1.24007,0.58893,1.62074,0.005545,0.005545,0.005545
47,19257.3,1.28607,0.59946,1.41672,0.96122,0.89665,0.95882,0.63548,1.241,0.58497,1.62121,0.005446,0.005446,0.005446
48,20538.6,1.28146,0.60108,1.4115,0.95793,0.89605,0.95791,0.63594,1.23389,0.58309,1.61746,0.005347,0.005347,0.005347
49,21818.1,1.27754,0.5974,1.40864,0.96213,0.89663,0.96003,0.63804,1.22309,0.57787,1.60922,0.005248,0.005248,0.005248
50,23098.3,1.27088,0.59325,1.40494,0.95676,0.88834,0.95838,0.63879,1.21928,0.5795,1.60407,0.005149,0.005149,0.005149
51,24393.7,1.27246,0.59365,1.40836,0.96164,0.88581,0.95823,0.63689,1.22159,0.58351,1.60902,0.00505,0.00505,0.00505
52,25672.6,1.26778,0.58809,1.40303,0.96696,0.88906,0.95868,0.63626,1.22935,0.57806,1.60954,0.004951,0.004951,0.004951
53,26952.1,1.25967,0.58473,1.40151,0.95995,0.8892,0.95792,0.63443,1.23398,0.58151,1.6141,0.004852,0.004852,0.004852
54,28233,1.26517,0.58798,1.39741,0.95893,0.89497,0.95989,0.63464,1.2355,0.57975,1.61534,0.004753,0.004753,0.004753
55,29512,1.26028,0.58248,1.39975,0.96277,0.89171,0.95768,0.63427,1.23513,0.57866,1.61478,0.004654,0.004654,0.004654
56,30790.4,1.24632,0.57459,1.38677,0.96033,0.89802,0.9597,0.63721,1.2339,0.5691,1.61286,0.004555,0.004555,0.004555
57,32070.5,1.2532,0.57793,1.39302,0.96125,0.89388,0.95891,0.63603,1.23334,0.56768,1.61384,0.004456,0.004456,0.004456
58,33349.3,1.24538,0.57486,1.38283,0.9618,0.88834,0.95726,0.63402,1.23573,0.57102,1.61612,0.004357,0.004357,0.004357
59,34628.4,1.24655,0.57156,1.38667,0.95921,0.89171,0.95726,0.63281,1.23777,0.5721,1.61685,0.004258,0.004258,0.004258
60,35908.4,1.24998,0.57434,1.39163,0.96252,0.89097,0.95643,0.63046,1.2462,0.57734,1.62341,0.004159,0.004159,0.004159
61,1307.44,1.23401,0.56382,1.38072,0.96314,0.89039,0.95676,0.63091,1.24437,0.5733,1.62072,0.00406,0.00406,0.00406
62,2597.89,1.23984,0.56614,1.38434,0.96196,0.894,0.95793,0.63084,1.24354,0.57019,1.62082,0.003961,0.003961,0.003961
63,3886.23,1.23172,0.56516,1.37756,0.96236,0.89316,0.95849,0.6339,1.23913,0.56867,1.6178,0.003862,0.003862,0.003862
64,5175.01,1.23645,0.56728,1.37973,0.95979,0.89131,0.95805,0.63454,1.23856,0.56867,1.61748,0.003763,0.003763,0.003763
65,6463.08,1.23428,0.56029,1.37653,0.96264,0.89015,0.9577,0.63171,1.24758,0.57334,1.6246,0.003664,0.003664,0.003664
66,7749.57,1.22597,0.5592,1.37054,0.96327,0.89091,0.95819,0.63162,1.24592,0.57177,1.62295,0.003565,0.003565,0.003565
67,9038.32,1.22849,0.55754,1.37498,0.96283,0.89234,0.95816,0.63176,1.24592,0.5716,1.62286,0.003466,0.003466,0.003466
68,10325.1,1.22052,0.55632,1.36583,0.96598,0.88991,0.95783,0.63139,1.246,0.57287,1.62231,0.003367,0.003367,0.003367
69,11614.3,1.22077,0.54982,1.37354,0.9661,0.88921,0.95697,0.63158,1.24476,0.57285,1.62085,0.003268,0.003268,0.003268
70,12902.4,1.21688,0.55141,1.36761,0.96596,0.88689,0.95655,0.63184,1.24308,0.57443,1.6198,0.003169,0.003169,0.003169
71,14196.4,1.21735,0.55354,1.3694,0.96736,0.88539,0.95709,0.63204,1.24243,0.5733,1.6192,0.00307,0.00307,0.00307
72,15486.7,1.2108,0.54358,1.36396,0.9643,0.88823,0.95731,0.63201,1.24188,0.57151,1.61901,0.002971,0.002971,0.002971
73,16774.7,1.21326,0.54557,1.35836,0.96403,0.88781,0.95678,0.63156,1.24369,0.57142,1.62044,0.002872,0.002872,0.002872
74,18062.5,1.20158,0.54381,1.35713,0.96255,0.88882,0.95666,0.6323,1.24241,0.56999,1.61904,0.002773,0.002773,0.002773
75,19349.7,1.20652,0.54234,1.36052,0.96392,0.88774,0.95602,0.63168,1.24261,0.5705,1.61913,0.002674,0.002674,0.002674
76,20637.6,1.20267,0.54086,1.35569,0.96553,0.88726,0.95618,0.63165,1.24305,0.57012,1.61919,0.002575,0.002575,0.002575
77,21926.3,1.19993,0.53663,1.35258,0.96561,0.8861,0.95613,0.63195,1.24298,0.56981,1.61874,0.002476,0.002476,0.002476
78,23215.1,1.19542,0.53527,1.35101,0.96546,0.88677,0.95635,0.63239,1.24294,0.56899,1.61846,0.002377,0.002377,0.002377
79,24503.8,1.19625,0.53467,1.35318,0.96593,0.88557,0.95627,0.63194,1.24297,0.56849,1.61859,0.002278,0.002278,0.002278
80,25793.5,1.19343,0.53083,1.35014,0.96752,0.88364,0.95614,0.63235,1.24268,0.56781,1.61819,0.002179,0.002179,0.002179
81,27082.3,1.18283,0.52925,1.34662,0.96627,0.88349,0.95599,0.63182,1.24321,0.56803,1.61844,0.00208,0.00208,0.00208
82,28371.3,1.19009,0.53137,1.34493,0.96552,0.88373,0.95586,0.63199,1.24394,0.56803,1.61917,0.001981,0.001981,0.001981
83,29667,1.18569,0.5247,1.3467,0.96579,0.88196,0.95591,0.63193,1.2439,0.56799,1.61899,0.001882,0.001882,0.001882
84,30955.4,1.17332,0.52182,1.33539,0.96558,0.88147,0.95568,0.63175,1.2436,0.56751,1.6187,0.001783,0.001783,0.001783
85,32243.1,1.18048,0.52371,1.34131,0.96475,0.88232,0.95567,0.63199,1.24402,0.56747,1.61899,0.001684,0.001684,0.001684
86,33531.6,1.17747,0.52323,1.33508,0.96483,0.88051,0.95548,0.632,1.24414,0.56789,1.61897,0.001585,0.001585,0.001585
87,34820.7,1.17935,0.52,1.33854,0.96574,0.87941,0.95531,0.63222,1.24365,0.56742,1.61859,0.001486,0.001486,0.001486
88,36110.5,1.18646,0.52386,1.34538,0.96435,0.87982,0.95502,0.63223,1.24409,0.56792,1.61876,0.001387,0.001387,0.001387
89,37398.5,1.18386,0.52249,1.34536,0.96467,0.87919,0.955,0.6325,1.24335,0.56828,1.61799,0.001288,0.001288,0.001288
90,38688.1,1.1775,0.52249,1.33922,0.96506,0.87826,0.95492,0.63244,1.24325,0.5683,1.61782,0.001189,0.001189,0.001189
91,39947,1.14168,0.48607,1.39282,0.96519,0.87841,0.95471,0.63239,1.24398,0.56868,1.61838,0.00109,0.00109,0.00109
92,41205.5,1.13669,0.48091,1.38131,0.96527,0.8769,0.95426,0.63187,1.24444,0.56902,1.61864,0.000991,0.000991,0.000991
93,42464.1,1.12958,0.47984,1.37719,0.96619,0.87617,0.95385,0.63156,1.24482,0.56959,1.61878,0.000892,0.000892,0.000892
94,43720.7,1.12582,0.47697,1.37088,0.96817,0.87509,0.95361,0.63158,1.24534,0.56997,1.61887,0.000793,0.000793,0.000793
95,44978.2,1.12182,0.47484,1.37218,0.96715,0.87509,0.95325,0.63142,1.24614,0.57059,1.61925,0.000694,0.000694,0.000694
96,46235,1.12202,0.47267,1.37075,0.96774,0.87442,0.95339,0.63106,1.24717,0.57109,1.6199,0.000595,0.000595,0.000595
97,47498.9,1.12046,0.47034,1.36871,0.96715,0.87389,0.95338,0.63085,1.2481,0.57182,1.6205,0.000496,0.000496,0.000496
98,48753.5,1.11564,0.47135,1.36781,0.96808,0.87313,0.95317,0.63036,1.24918,0.57244,1.62132,0.000397,0.000397,0.000397
99,50011.7,1.11066,0.46687,1.36659,0.96717,0.87282,0.95294,0.63011,1.25022,0.57315,1.62207,0.000298,0.000298,0.000298
100,51348.9,1.10823,0.46503,1.36207,0.96719,0.87244,0.95243,0.62969,1.2511,0.57348,1.6227,0.000199,0.000199,0.000199
