Time,Model,Model_YAML,Data,Pretrained,Precision,Recall,mAP50,mAP50-95,FLOPs(G),Params(M),FPS,Preprocess(ms),Inference(ms),Postprocess(ms),Total(ms),use_simotm,Channels,Batch,Workers,Device,imgsz,Epochs,Optimizer,Project,Name
2026-07-20 16:37:32,yolo26s-RGBT-midfusion-COI,ultralytics/cfg/models/26-RGBT/2026-07-13/conv/yolo26-RGBT-midfusion-COI.yaml,ultralytics/cfg/datasets/flir.yaml,weights/yolo26s.pt,0.8539,0.7761,0.8693,0.5088,108.96,14.96,12.84,2.31,67.02,8.54,77.88,RGBT,4,2,0,0,640,100,SGD,runs/FLIR/26dual-test,yolo26s-RGBT-midfusion-COI
2026-07-25 17:57:08,yolo26s-RGBT-midfusion-COI-150,ultralytics/cfg/models/26-RGBT/2026-07-13/conv/yolo26-RGBT-midfusion-COI.yaml,ultralytics/cfg/datasets/flir.yaml,weights/yolo26s.pt,0.8644,0.8026,0.8799,0.5216,108.96,14.96,16.97,0.94,55.11,2.86,58.91,RGBT,4,4,0,0,640,150,SGD,runs/FLIR/26dual-test,yolo26s-RGBT-midfusion-COI-150
