epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1167.1,3.20559,2.79493,3.07938,0.50603,0.45134,0.46325,0.18549,2.11407,2.00594,2.50511,0.07001,0.00333222,0.00333222
2,2320.77,1.92247,1.48189,1.9441,0.73514,0.6125,0.70791,0.37093,1.72877,1.51448,2.08688,0.039944,0.00659957,0.00659957
3,3477.06,1.75787,1.3094,1.78747,0.78089,0.67466,0.76841,0.42907,1.62449,1.36475,1.98895,0.009812,0.00980091,0.00980091
4,4614.06,1.68471,1.16,1.71852,0.85113,0.68661,0.80292,0.47128,1.5733,1.25653,1.92097,0.009703,0.009703,0.009703
5,5770.29,1.61987,1.04565,1.6654,0.85508,0.74054,0.85014,0.50857,1.49606,1.10664,1.86344,0.009604,0.009604,0.009604
6,6963.69,1.58336,0.98278,1.6365,0.91265,0.79065,0.88891,0.54716,1.44282,0.99232,1.80278,0.009505,0.009505,0.009505
7,8155.9,1.55584,0.94159,1.6193,0.90505,0.80828,0.90349,0.55973,1.41075,0.92798,1.7647,0.009406,0.009406,0.009406
8,9456.01,1.53503,0.90636,1.5983,0.93026,0.80499,0.90434,0.56119,1.43851,0.91682,1.79714,0.009307,0.009307,0.009307
9,10600.3,1.52084,0.87835,1.59466,0.90719,0.81318,0.90311,0.56462,1.37637,0.90823,1.74048,0.009208,0.009208,0.009208
10,11728.3,1.49751,0.84555,1.57303,0.90988,0.81842,0.90729,0.58206,1.35685,0.87647,1.71923,0.009109,0.009109,0.009109
11,12857.8,1.49241,0.83537,1.57338,0.93223,0.83513,0.92504,0.58824,1.35711,0.80807,1.72196,0.00901,0.00901,0.00901
12,13987.9,1.47789,0.81308,1.55997,0.93438,0.84064,0.92328,0.59621,1.35225,0.80682,1.7083,0.008911,0.008911,0.008911
13,15115.6,1.46846,0.79868,1.54701,0.93779,0.84028,0.92468,0.59339,1.3513,0.8095,1.70571,0.008812,0.008812,0.008812
14,16244.6,1.45377,0.78354,1.54286,0.94333,0.84616,0.93238,0.60416,1.31243,0.78107,1.67955,0.008713,0.008713,0.008713
15,17372.3,1.45067,0.76962,1.53938,0.93148,0.84325,0.92581,0.60152,1.32626,0.78668,1.69089,0.008614,0.008614,0.008614
16,18500,1.4375,0.76364,1.52809,0.95127,0.86069,0.93758,0.60753,1.3202,0.733,1.68115,0.008515,0.008515,0.008515
17,19628.8,1.42729,0.74652,1.51759,0.9469,0.85522,0.93457,0.60602,1.31976,0.74918,1.68814,0.008416,0.008416,0.008416
18,20757.5,1.42187,0.74321,1.51383,0.94737,0.86666,0.93935,0.60929,1.32528,0.72316,1.69136,0.008317,0.008317,0.008317
19,21887.5,1.41433,0.7348,1.51456,0.94136,0.87016,0.94282,0.61584,1.29252,0.7126,1.66462,0.008218,0.008218,0.008218
20,23015,1.40568,0.72451,1.50658,0.95451,0.86545,0.94281,0.61952,1.29778,0.70554,1.66921,0.008119,0.008119,0.008119
21,24143,1.39839,0.71314,1.50412,0.95627,0.87437,0.94421,0.61592,1.30477,0.6928,1.6716,0.00802,0.00802,0.00802
22,25272.1,1.39871,0.71243,1.4955,0.94837,0.87099,0.9441,0.61331,1.31583,0.70369,1.67744,0.007921,0.007921,0.007921
23,26399.4,1.39384,0.70482,1.499,0.94585,0.87518,0.94402,0.6069,1.33044,0.69756,1.68914,0.007822,0.007822,0.007822
24,27539.4,1.37354,0.69434,1.48186,0.95116,0.88509,0.94813,0.62161,1.30175,0.66422,1.664,0.007723,0.007723,0.007723
25,28667.8,1.38045,0.69531,1.48836,0.94395,0.87328,0.9432,0.62137,1.29778,0.6846,1.66574,0.007624,0.007624,0.007624
26,29795.6,1.37026,0.68388,1.47652,0.94772,0.86912,0.94114,0.62196,1.27717,0.70282,1.65472,0.007525,0.007525,0.007525
27,30922.5,1.36602,0.68303,1.47516,0.94677,0.87919,0.94748,0.62168,1.2924,0.67374,1.66185,0.007426,0.007426,0.007426
28,32053.3,1.37007,0.68193,1.48116,0.94449,0.88099,0.94788,0.62179,1.30301,0.67671,1.66934,0.007327,0.007327,0.007327
29,33181.6,1.36288,0.67802,1.47897,0.95352,0.87919,0.95124,0.63201,1.26176,0.65756,1.63492,0.007228,0.007228,0.007228
30,34309.1,1.35891,0.66956,1.47179,0.95105,0.88468,0.94988,0.62925,1.27505,0.65804,1.64251,0.007129,0.007129,0.007129
31,35443.8,1.35636,0.66752,1.47067,0.95527,0.88641,0.95145,0.63028,1.26941,0.64776,1.64065,0.00703,0.00703,0.00703
