epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,46311.9,1.31443,0.62593,1.43421,0.96113,0.88437,0.95332,0.62212,1.25895,0.61242,1.63569,0.005842,0.005842,0.005842
44,47376.9,1.30562,0.62234,1.43224,0.95621,0.89617,0.9567,0.60955,1.28761,0.60346,1.65953,0.005743,0.005743,0.005743
45,48450.4,1.29812,0.61691,1.42367,0.96023,0.89123,0.95349,0.61487,1.2787,0.60629,1.65335,0.005644,0.005644,0.005644
46,49516.8,1.30791,0.61865,1.43079,0.96052,0.88834,0.95283,0.61561,1.27027,0.60611,1.64588,0.005545,0.005545,0.005545
47,50581.7,1.29676,0.61202,1.42796,0.95429,0.89516,0.95375,0.61442,1.27464,0.60191,1.65165,0.005446,0.005446,0.005446
48,51660,1.29542,0.61205,1.41865,0.95818,0.89448,0.95498,0.6202,1.2635,0.59912,1.63713,0.005347,0.005347,0.005347
49,52729,1.29416,0.60951,1.41946,0.95826,0.89605,0.95512,0.6192,1.27356,0.59507,1.64666,0.005248,0.005248,0.005248
50,53791,1.29628,0.61162,1.41979,0.95882,0.89617,0.95622,0.61733,1.27069,0.59488,1.64481,0.005149,0.005149,0.005149
51,54854.8,1.28756,0.60841,1.41937,0.96143,0.89195,0.95487,0.61459,1.28023,0.60333,1.64963,0.00505,0.00505,0.00505
52,55918.1,1.27785,0.6006,1.40955,0.95856,0.89435,0.95338,0.61833,1.27403,0.5988,1.64165,0.004951,0.004951,0.004951
53,56982,1.28022,0.60156,1.40824,0.96168,0.89268,0.9551,0.62377,1.26829,0.59124,1.63569,0.004852,0.004852,0.004852
54,58046.6,1.28395,0.60066,1.40832,0.96342,0.89111,0.95525,0.62256,1.26583,0.58993,1.63728,0.004753,0.004753,0.004753
55,59116.9,1.28488,0.60246,1.41209,0.96572,0.88896,0.95487,0.62324,1.26247,0.59084,1.63641,0.004654,0.004654,0.004654
56,60198.8,1.27263,0.59235,1.4012,0.96723,0.88885,0.95501,0.62535,1.26085,0.59164,1.63339,0.004555,0.004555,0.004555
57,61281.7,1.27671,0.59226,1.4096,0.96386,0.88979,0.95487,0.6248,1.2615,0.59158,1.63295,0.004456,0.004456,0.004456
58,62362.9,1.26777,0.58893,1.40203,0.96504,0.89111,0.95385,0.62548,1.25592,0.58738,1.62771,0.004357,0.004357,0.004357
59,63437.3,1.26707,0.5888,1.40156,0.95916,0.89412,0.95497,0.6297,1.24816,0.58139,1.62211,0.004258,0.004258,0.004258
60,64517.7,1.26548,0.58461,1.3995,0.95888,0.89581,0.95571,0.63253,1.24334,0.57954,1.6173,0.004159,0.004159,0.004159
61,65596.9,1.26344,0.58621,1.39881,0.95814,0.89614,0.95578,0.63291,1.24443,0.57525,1.61856,0.00406,0.00406,0.00406
62,66678.3,1.25356,0.57841,1.39146,0.96176,0.89448,0.95607,0.63306,1.24736,0.57385,1.61984,0.003961,0.003961,0.003961
63,67754.5,1.25701,0.58129,1.39156,0.96404,0.89454,0.95694,0.63243,1.24701,0.57399,1.61878,0.003862,0.003862,0.003862
64,68821.4,1.25643,0.57438,1.38759,0.96292,0.89451,0.95702,0.63131,1.25012,0.57463,1.62102,0.003763,0.003763,0.003763
65,69887.6,1.25656,0.57769,1.39085,0.95951,0.89593,0.95674,0.63292,1.25067,0.57554,1.62133,0.003664,0.003664,0.003664
66,70953.4,1.24673,0.57108,1.38736,0.96125,0.89352,0.95632,0.63423,1.2514,0.57595,1.62182,0.003565,0.003565,0.003565
67,72034.8,1.25137,0.57287,1.38562,0.96231,0.89388,0.95636,0.63565,1.24877,0.57427,1.61967,0.003466,0.003466,0.003466
68,73108.9,1.24206,0.56912,1.3874,0.96129,0.89727,0.95667,0.63455,1.25062,0.57236,1.62157,0.003367,0.003367,0.003367
69,74192.4,1.2472,0.57432,1.38323,0.96107,0.89517,0.95563,0.63358,1.25271,0.57189,1.62516,0.003268,0.003268,0.003268
70,75272.1,1.24494,0.57007,1.38241,0.96198,0.89388,0.95504,0.63218,1.25425,0.57374,1.62705,0.003169,0.003169,0.003169
71,76352,1.2401,0.56482,1.38063,0.96112,0.89329,0.95447,0.6321,1.25498,0.57537,1.62833,0.00307,0.00307,0.00307
72,77433.1,1.23771,0.5646,1.37941,0.9608,0.89449,0.95525,0.63297,1.25433,0.57431,1.62808,0.002971,0.002971,0.002971
73,78495.5,1.23016,0.56098,1.37536,0.96007,0.894,0.95538,0.6332,1.25318,0.57293,1.628,0.002872,0.002872,0.002872
74,79556.2,1.2359,0.56045,1.37853,0.96044,0.89412,0.95558,0.63403,1.25323,0.57273,1.62819,0.002773,0.002773,0.002773
75,80619.6,1.23122,0.55595,1.3749,0.96002,0.89368,0.95588,0.63441,1.253,0.57139,1.62748,0.002674,0.002674,0.002674
76,81680.2,1.22807,0.55256,1.3703,0.96154,0.89434,0.95579,0.63443,1.2536,0.57088,1.62711,0.002575,0.002575,0.002575
77,82742.3,1.23022,0.55285,1.36767,0.96203,0.89428,0.95588,0.63424,1.25496,0.57072,1.62769,0.002476,0.002476,0.002476
78,83802.9,1.22796,0.55166,1.36646,0.96337,0.8928,0.95579,0.6344,1.25507,0.57089,1.62739,0.002377,0.002377,0.002377
79,84864.5,1.22361,0.55213,1.36717,0.96408,0.89227,0.95617,0.63389,1.25545,0.57041,1.6273,0.002278,0.002278,0.002278
80,85924.9,1.22508,0.55159,1.3688,0.96329,0.89454,0.95646,0.63387,1.25523,0.56986,1.62703,0.002179,0.002179,0.002179
81,86986.4,1.22005,0.54643,1.36514,0.96417,0.89316,0.95595,0.63424,1.25437,0.56926,1.62604,0.00208,0.00208,0.00208
82,88047.2,1.21031,0.5451,1.35647,0.96321,0.89364,0.95553,0.63434,1.25502,0.5693,1.6265,0.001981,0.001981,0.001981
83,89135.9,1.21648,0.54367,1.36292,0.96313,0.89362,0.95549,0.6348,1.25457,0.56914,1.62591,0.001882,0.001882,0.001882
84,90325.7,1.21228,0.54293,1.36174,0.96288,0.89268,0.95505,0.63507,1.25428,0.56961,1.62519,0.001783,0.001783,0.001783
85,91459.2,1.20792,0.54079,1.35876,0.96369,0.89205,0.95495,0.63563,1.25401,0.57012,1.6245,0.001684,0.001684,0.001684
86,92602,1.20892,0.5415,1.35641,0.96305,0.89171,0.95471,0.63573,1.25418,0.57036,1.62444,0.001585,0.001585,0.001585
